Month,A,B,C,D,Total,Average,Growth,Quarter,Top_Product,Low_Product
January,95,64,33,33,225,56.25,0.0,Q1,A,C
February,99,69,44,28,240,60.0,6.666666666666665,Q1,A,D
March,59,80,54,46,239,59.75,-0.4166666666666652,Q1,B,D
April,58,79,26,49,212,53.0,-11.297071129707115,Q2,B,C
May,57,41,30,12,140,35.0,-33.9622641509434,Q2,A,D
June,75,50,26,22,173,43.25,23.571428571428577,Q2,A,D
July,92,37,31,29,189,47.25,9.248554913294793,Q3,A,D
August,60,50,49,17,176,44.0,-6.8783068783068835,Q3,A,D
September,67,72,41,32,212,53.0,20.45454545454546,Q3,B,D
October,83,55,58,38,234,58.5,10.377358490566046,Q4,A,D
November,64,61,33,18,176,44.0,-24.786324786324787,Q4,A,D
December,82,50,21,40,193,48.25,9.659090909090917,Q4,A,C
